corr_diff__chrf,corr_diff__comet_seg,corr_diff__pred_tokens,corr_diff__ref_tokens,corr_diff__src_tokens,difficulty_bin,model
0.034443757131304945,-0.023512893025266136,-0.26041603768947136,-0.3469177994125929,-0.6231089253360813,(0.0-0.8641313217143293],TM_6bit
0.05418516093127966,0.02884595250886832,-0.01624980514041539,-0.05608705615926571,-0.026298519792199784,(0.8641313217143293-0.9307763735422399],TM_6bit
0.03753618649313792,0.0020241145994833675,0.01809393481304805,-0.12491592725021869,-0.29300599823562773,(0.9307763735422399-0.9958426710938243],TM_6bit
-1.0,-0.9999999999999998,-1.0,-1.0000000000000002,-1.0,UNBINNED,TM_6bit
