chrf,comet_seg,esa_bin,esa_score,id,langpair,src_lang,tgt_lang
41.38893360474352,,(0-82],50.0,309,en-ru,en,ru
42.56795685506536,,(98-100],100.0,88,en-zh,en,zh
0.0,,UNBINNED,85.0,606,en-zh,en,zh
65.07781974616516,,(82-98],94.0,92,en-es,en,es
100.0,,(98-100],99.0,613,en-ru,en,ru
7.11264898116109,,(0-82],41.0,415,en-zh,en,zh
42.24846016976584,,UNBINNED,95.0,93,en-zh,en,zh
61.15775541954635,,(0-82],0.0,150,en-es,en,es
55.002500345066785,,(0-82],43.0,773,en-ru,en,ru
83.04801335035128,,(0-82],60.0,151,en-es,en,es
63.103833032175785,,(82-98],95.0,198,en-zh,en,zh
60.7330056024608,,(98-100],100.0,44,en-es,en,es
14.668992419293602,,(82-98],93.0,455,en-ru,en,ru
49.54466905096561,,(0-82],80.0,74,en-zh,en,zh
0.36549707602339176,,UNBINNED,76.0,574,en-zh,en,zh
79.52885790902869,,(82-98],95.0,62,en-es,en,es
77.87516190159737,,(82-98],90.0,710,en-ru,en,ru
83.01004106758228,,(82-98],93.0,173,en-ru,en,ru
35.244671140668906,,(82-98],95.0,248,en-zh,en,zh
8.134500373017664,,(98-100],99.0,678,en-es,en,es
49.91143100999744,,(0-82],71.0,572,en-ru,en,ru
60.04813536009465,,(82-98],95.0,27,en-zh,en,zh
0.36469730123997085,,(0-82],68.0,298,en-zh,en,zh
9.780446280401534,,(82-98],97.0,8,en-es,en,es
58.23145812113647,,(0-82],64.0,875,en-ru,en,ru
6.535947712418301,,(82-98],95.0,381,en-zh,en,zh
46.20842962434025,,(0-82],43.0,145,en-zh,en,zh
76.62587591595248,,UNBINNED,70.0,41,en-es,en,es
12.340975429210726,,(0-82],28.0,218,en-ru,en,ru
78.60286977600848,,(82-98],91.0,748,en-es,en,es
40.311160277689154,,UNBINNED,98.0,51,en-zh,en,zh
20.60604432285979,,(82-98],90.0,424,en-es,en,es
58.1076692536014,,(0-82],80.0,316,en-ru,en,ru
40.77163224111031,,(98-100],99.0,307,en-ru,en,ru
0.0,,(0-82],33.0,312,en-zh,en,zh
71.67016390503346,,(98-100],100.0,3,en-es,en,es
78.07245031015539,,(0-82],75.0,29,en-ru,en,ru
39.00175413278835,,(82-98],90.0,25,en-zh,en,zh
0.3198976327575176,,UNBINNED,94.0,471,en-zh,en,zh
61.17885828655584,,(82-98],90.0,948,en-es,en,es
31.716341934622385,,(0-82],74.0,614,en-ru,en,ru
38.78200066197033,,(0-82],74.0,279,en-zh,en,zh
37.630099944312754,,(98-100],99.0,126,en-zh,en,zh
0.5359056806002144,,(0-82],66.0,616,en-es,en,es
80.78395746380363,,(0-82],54.0,81,en-ru,en,ru
25.3184817426449,,(82-98],98.0,408,en-zh,en,zh
0.1640419947506562,,(82-98],95.0,282,en-zh,en,zh
79.72885404391124,,(0-82],66.0,16,en-es,en,es
83.904717179284,,(82-98],87.0,873,en-ru,en,ru
34.08328189891718,,(82-98],96.0,400,en-zh,en,zh
34.24351469493103,,UNBINNED,85.0,727,en-zh,en,zh
68.97482980922275,,(98-100],99.0,695,en-es,en,es
73.7165303439235,,(0-82],82.0,762,en-ru,en,ru
0.1885369532428356,,(98-100],100.0,674,en-zh,en,zh
0.18195050946142652,,(82-98],90.0,574,en-zh,en,zh
100.0,,(98-100],100.0,654,en-es,en,es
82.19169171763689,,(98-100],100.0,851,en-ru,en,ru
34.88718423594606,,(82-98],88.0,493,en-ru,en,ru
26.24749873871574,,(82-98],97.0,796,en-zh,en,zh
72.91549370583743,,(0-82],65.0,190,en-es,en,es
84.48434617169454,,(98-100],99.0,72,en-ru,en,ru
51.357343167353086,,(0-82],63.0,679,en-ru,en,ru
43.03430020885638,,(82-98],94.0,307,en-zh,en,zh
70.41760600479124,,(98-100],100.0,711,en-es,en,es
88.42172136782607,,(0-82],61.0,233,en-ru,en,ru
18.6460392568228,,(82-98],90.0,456,en-es,en,es
38.19369301511924,,UNBINNED,97.0,422,en-zh,en,zh
86.4937752353409,,(98-100],100.0,167,en-es,en,es
66.66619788276975,,(98-100],100.0,272,en-ru,en,ru
43.31619822615539,,UNBINNED,95.0,784,en-zh,en,zh
52.93776003388404,,(82-98],86.0,480,en-zh,en,zh
91.96998868642665,,(98-100],100.0,71,en-es,en,es
74.09647040457963,,(0-82],69.0,737,en-ru,en,ru
86.87913288698175,,(82-98],85.0,148,en-es,en,es
0.37537537537537535,,(98-100],100.0,296,en-zh,en,zh
80.78768007943027,,(98-100],100.0,591,en-es,en,es
62.48409514468521,,UNBINNED,21.0,698,en-ru,en,ru
0.0,,(98-100],99.0,939,en-zh,en,zh
0.3770739064856712,,(98-100],99.0,318,en-zh,en,zh
85.87115561929993,,(82-98],90.0,236,en-es,en,es
63.37512564210896,,(82-98],86.0,685,en-ru,en,ru
1.1856368563685635,,(98-100],100.0,295,en-zh,en,zh
57.234144267251686,,(82-98],96.0,35,en-zh,en,zh
65.53984251787365,,(98-100],100.0,774,en-es,en,es
75.92058593292977,,(82-98],84.0,736,en-ru,en,ru
40.114260697356755,,(82-98],97.0,723,en-zh,en,zh
36.93948510442041,,(82-98],98.0,798,en-zh,en,zh
81.72655609008459,,(98-100],100.0,972,en-es,en,es
74.84772783849115,,(0-82],70.0,233,en-ru,en,ru
40.614380737384344,,(82-98],92.0,425,en-zh,en,zh
