chrf,comet_seg,esa_bin,esa_score,id,langpair,src_lang,tgt_lang
41.38893360474352,,(0-82],50.0,309,en-ru,en,ru
42.56795685506536,,(98-100],100.0,88,en-zh,en,zh
0.0,,UNBINNED,85.0,606,en-zh,en,zh
65.07781974616516,,(82-98],94.0,92,en-es,en,es
100.0,,(98-100],99.0,613,en-ru,en,ru
7.11264898116109,,(0-82],41.0,415,en-zh,en,zh
42.86983890161877,,UNBINNED,95.0,93,en-zh,en,zh
60.14453345401631,,(0-82],0.0,150,en-es,en,es
50.00073431427721,,(0-82],43.0,773,en-ru,en,ru
81.71937592975489,,(0-82],60.0,151,en-es,en,es
50.071857681926666,,(82-98],95.0,198,en-zh,en,zh
60.73061751440505,,(98-100],100.0,44,en-es,en,es
16.896771169053476,,(82-98],93.0,455,en-ru,en,ru
48.76703110383812,,(0-82],80.0,74,en-zh,en,zh
0.36873156342182883,,UNBINNED,76.0,574,en-zh,en,zh
77.57099893404879,,(82-98],95.0,62,en-es,en,es
67.28896148516016,,(82-98],90.0,710,en-ru,en,ru
74.00746731695426,,(82-98],93.0,173,en-ru,en,ru
36.50391911200674,,(82-98],95.0,248,en-zh,en,zh
7.769345807430829,,(98-100],99.0,678,en-es,en,es
49.91143100999744,,(0-82],71.0,572,en-ru,en,ru
49.80502273117149,,(82-98],95.0,27,en-zh,en,zh
0.3687315634218289,,(0-82],68.0,298,en-zh,en,zh
11.597169180141446,,(82-98],97.0,8,en-es,en,es
62.66174019210745,,(0-82],64.0,875,en-ru,en,ru
6.535947712418301,,(82-98],95.0,381,en-zh,en,zh
47.927488703397174,,(0-82],43.0,145,en-zh,en,zh
74.26986970830613,,UNBINNED,70.0,41,en-es,en,es
12.340975429210726,,(0-82],28.0,218,en-ru,en,ru
75.6475368348097,,(82-98],91.0,748,en-es,en,es
42.92965018152789,,UNBINNED,98.0,51,en-zh,en,zh
20.767550697707293,,(82-98],90.0,424,en-es,en,es
52.424830958387936,,(0-82],80.0,316,en-ru,en,ru
40.574082074779355,,(98-100],99.0,307,en-ru,en,ru
0.0,,(0-82],33.0,312,en-zh,en,zh
68.37510312251939,,(98-100],100.0,3,en-es,en,es
78.07245031015539,,(0-82],75.0,29,en-ru,en,ru
44.916710050510105,,(82-98],90.0,25,en-zh,en,zh
21.595518638723114,,UNBINNED,94.0,471,en-zh,en,zh
61.17885828655584,,(82-98],90.0,948,en-es,en,es
24.55658427268477,,(0-82],74.0,614,en-ru,en,ru
38.78200066197033,,(0-82],74.0,279,en-zh,en,zh
34.27079184108011,,(98-100],99.0,126,en-zh,en,zh
1.2494666276146398,,(0-82],66.0,616,en-es,en,es
77.73749943988497,,(0-82],54.0,81,en-ru,en,ru
25.3184817426449,,(82-98],98.0,408,en-zh,en,zh
0.16903313049357674,,(82-98],95.0,282,en-zh,en,zh
79.72885404391124,,(0-82],66.0,16,en-es,en,es
83.904717179284,,(82-98],87.0,873,en-ru,en,ru
35.98782768311178,,(82-98],96.0,400,en-zh,en,zh
35.60222223614634,,UNBINNED,85.0,727,en-zh,en,zh
66.62069112974112,,(98-100],99.0,695,en-es,en,es
73.7165303439235,,(0-82],82.0,762,en-ru,en,ru
0.18982536066818526,,(98-100],100.0,674,en-zh,en,zh
0.18601190476190474,,(82-98],90.0,574,en-zh,en,zh
100.0,,(98-100],100.0,654,en-es,en,es
78.30015224538765,,(98-100],100.0,851,en-ru,en,ru
34.88718423594606,,(82-98],88.0,493,en-ru,en,ru
29.099725884814088,,(82-98],97.0,796,en-zh,en,zh
79.34566673398234,,(0-82],65.0,190,en-es,en,es
84.47868869256136,,(98-100],99.0,72,en-ru,en,ru
52.51131488192669,,(0-82],63.0,679,en-ru,en,ru
41.742346186664264,,(82-98],94.0,307,en-zh,en,zh
69.96476998584193,,(98-100],100.0,711,en-es,en,es
88.42172136782607,,(0-82],61.0,233,en-ru,en,ru
18.068933266774636,,(82-98],90.0,456,en-es,en,es
39.83230098927334,,UNBINNED,97.0,422,en-zh,en,zh
86.4937752353409,,(98-100],100.0,167,en-es,en,es
66.66619788276975,,(98-100],100.0,272,en-ru,en,ru
43.15526431225787,,UNBINNED,95.0,784,en-zh,en,zh
56.09642665811779,,(82-98],86.0,480,en-zh,en,zh
88.97025983752242,,(98-100],100.0,71,en-es,en,es
72.24846392658172,,(0-82],69.0,737,en-ru,en,ru
86.39521685050406,,(82-98],85.0,148,en-es,en,es
0.3787878787878788,,(98-100],100.0,296,en-zh,en,zh
80.78768007943027,,(98-100],100.0,591,en-es,en,es
59.717561942098875,,UNBINNED,21.0,698,en-ru,en,ru
0.0,,(98-100],99.0,939,en-zh,en,zh
0.38051750380517496,,(98-100],99.0,318,en-zh,en,zh
73.59424051017713,,(82-98],90.0,236,en-es,en,es
60.166617851904626,,(82-98],86.0,685,en-ru,en,ru
24.28070923204087,,(98-100],100.0,295,en-zh,en,zh
53.917441391029996,,(82-98],96.0,35,en-zh,en,zh
63.51520699604451,,(98-100],100.0,774,en-es,en,es
76.88292766083354,,(82-98],84.0,736,en-ru,en,ru
43.45214226021445,,(82-98],97.0,723,en-zh,en,zh
37.7374145449595,,(82-98],98.0,798,en-zh,en,zh
79.22719366532279,,(98-100],100.0,972,en-es,en,es
74.84772783849115,,(0-82],70.0,233,en-ru,en,ru
38.395660505219006,,(82-98],92.0,425,en-zh,en,zh
