chrf,comet_seg,esa_bin,esa_score,id,langpair,src_lang,tgt_lang
36.712938645762414,,(30.0-60.0],59.0,43,en-ru,en,ru
69.21645176282415,,(60.0-100.0],75.0,44,en-ru,en,ru
65.05922317736335,,(60.0-100.0],90.0,45,en-ru,en,ru
65.41241912381213,,(30.0-60.0],50.0,46,en-ru,en,ru
73.14768595615357,,(60.0-100.0],62.0,47,en-ru,en,ru
76.22737209242325,,(60.0-100.0],66.0,48,en-ru,en,ru
69.46314272774542,,(60.0-100.0],65.0,49,en-ru,en,ru
80.99971071563101,,(60.0-100.0],92.0,50,en-ru,en,ru
75.23699011402611,,(60.0-100.0],69.0,51,en-ru,en,ru
71.23115918088577,,(30.0-60.0],60.0,52,en-ru,en,ru
66.71810158343064,,(60.0-100.0],67.0,682,en-ru,en,ru
71.70041914428148,,(30.0-60.0],50.0,717,en-ru,en,ru
72.16958666218936,,(30.0-60.0],58.0,690,en-ru,en,ru
87.512642909493,,(60.0-100.0],100.0,226,en-ru,en,ru
62.14554486014961,,(60.0-100.0],100.0,227,en-ru,en,ru
10.816443763200558,,(60.0-100.0],100.0,228,en-ru,en,ru
78.02395144523258,,(60.0-100.0],83.0,229,en-ru,en,ru
3.006872852233677,,(60.0-100.0],100.0,230,en-ru,en,ru
25.800432052404094,,(60.0-100.0],100.0,231,en-ru,en,ru
14.274601523192118,,(60.0-100.0],100.0,232,en-ru,en,ru
74.84772783849115,,(60.0-100.0],100.0,233,en-ru,en,ru
43.56769915231716,,(60.0-100.0],100.0,6,en-ru,en,ru
65.14338258753179,,(30.0-60.0],50.0,7,en-ru,en,ru
71.60063207222018,,(30.0-60.0],41.0,8,en-ru,en,ru
73.68140530633453,,(30.0-60.0],60.0,9,en-ru,en,ru
69.48113802575355,,(60.0-100.0],100.0,10,en-ru,en,ru
48.62513229572449,,(30.0-60.0],50.0,743,en-ru,en,ru
42.55240641662054,,(60.0-100.0],79.0,166,en-ru,en,ru
92.43099165291358,,(60.0-100.0],83.0,167,en-ru,en,ru
39.48295093035258,,(60.0-100.0],68.0,168,en-ru,en,ru
17.86547517049535,,(60.0-100.0],100.0,169,en-ru,en,ru
56.31399944085771,,(30.0-60.0],50.0,170,en-ru,en,ru
45.192319902184494,,(0.0-30.0],28.0,171,en-ru,en,ru
49.93183227443481,,(30.0-60.0],33.0,172,en-ru,en,ru
56.54871206235913,,(30.0-60.0],60.0,173,en-ru,en,ru
52.093702085299185,,(60.0-100.0],75.0,174,en-ru,en,ru
73.7863832556679,,(60.0-100.0],76.0,175,en-ru,en,ru
40.799792174494435,,(60.0-100.0],100.0,417,en-ru,en,ru
54.0154495762714,,(60.0-100.0],100.0,418,en-ru,en,ru
54.2282317543932,,(60.0-100.0],66.0,419,en-ru,en,ru
71.4552884580068,,(60.0-100.0],100.0,420,en-ru,en,ru
32.2401342187395,,(60.0-100.0],100.0,421,en-ru,en,ru
56.31641676164798,,(60.0-100.0],100.0,422,en-ru,en,ru
62.155017273435156,,(60.0-100.0],84.0,423,en-ru,en,ru
19.567503450784056,,(60.0-100.0],78.0,424,en-ru,en,ru
39.98642096001119,,(60.0-100.0],91.0,709,en-ru,en,ru
60.715080840540935,,(60.0-100.0],79.0,766,en-ru,en,ru
56.405816143185916,,(60.0-100.0],82.0,773,en-ru,en,ru
46.28969246128645,,(60.0-100.0],100.0,588,en-ru,en,ru
38.862212525333376,,(60.0-100.0],100.0,589,en-ru,en,ru
59.96479742407421,,(0.0-30.0],5.0,590,en-ru,en,ru
82.71775975011589,,(30.0-60.0],39.0,591,en-ru,en,ru
42.46915378148892,,(30.0-60.0],42.0,592,en-ru,en,ru
100.0,,(60.0-100.0],100.0,594,en-ru,en,ru
18.332481071822464,,(60.0-100.0],100.0,595,en-ru,en,ru
26.29509457071651,,(0.0-30.0],0.0,596,en-ru,en,ru
12.724614958566185,,(30.0-60.0],33.0,597,en-ru,en,ru
65.07974688480068,,(60.0-100.0],83.0,732,en-ru,en,ru
67.40504415066097,,(60.0-100.0],85.0,705,en-ru,en,ru
45.02985845021309,,(60.0-100.0],62.0,728,en-ru,en,ru
