chrf,comet_seg,esa_bin,esa_score,id,langpair,src_lang,tgt_lang
37.25808498304458,,(30.0-60.0],59.0,43,en-ru,en,ru
73.02539359642962,,(60.0-100.0],75.0,44,en-ru,en,ru
64.29724475662243,,(60.0-100.0],90.0,45,en-ru,en,ru
63.98538721051325,,(30.0-60.0],50.0,46,en-ru,en,ru
71.88829674471722,,(60.0-100.0],62.0,47,en-ru,en,ru
18.392713504627604,,(60.0-100.0],66.0,48,en-ru,en,ru
68.45229938320243,,(60.0-100.0],65.0,49,en-ru,en,ru
75.47819258626205,,(60.0-100.0],92.0,50,en-ru,en,ru
74.2222862341223,,(60.0-100.0],69.0,51,en-ru,en,ru
74.03286361767259,,(30.0-60.0],60.0,52,en-ru,en,ru
63.73165990579584,,(60.0-100.0],67.0,682,en-ru,en,ru
72.55251699372606,,(30.0-60.0],50.0,717,en-ru,en,ru
74.05920108983501,,(30.0-60.0],58.0,690,en-ru,en,ru
87.512642909493,,(60.0-100.0],100.0,226,en-ru,en,ru
62.14554486014961,,(60.0-100.0],100.0,227,en-ru,en,ru
13.386890211092089,,(60.0-100.0],100.0,228,en-ru,en,ru
68.89268701601074,,(60.0-100.0],83.0,229,en-ru,en,ru
1.0760401721664274,,(60.0-100.0],100.0,230,en-ru,en,ru
25.800432052404094,,(60.0-100.0],100.0,231,en-ru,en,ru
63.74241601865287,,(60.0-100.0],100.0,232,en-ru,en,ru
74.84772783849115,,(60.0-100.0],100.0,233,en-ru,en,ru
52.56514957721272,,(60.0-100.0],100.0,6,en-ru,en,ru
61.89667166777036,,(30.0-60.0],50.0,7,en-ru,en,ru
72.06094766969768,,(30.0-60.0],41.0,8,en-ru,en,ru
61.339813990854275,,(30.0-60.0],60.0,9,en-ru,en,ru
69.48113802575355,,(60.0-100.0],100.0,10,en-ru,en,ru
48.9044868333728,,(30.0-60.0],50.0,743,en-ru,en,ru
62.11226021886483,,(60.0-100.0],79.0,166,en-ru,en,ru
92.43099165291358,,(60.0-100.0],83.0,167,en-ru,en,ru
38.24902832324377,,(60.0-100.0],68.0,168,en-ru,en,ru
19.03713741307173,,(60.0-100.0],100.0,169,en-ru,en,ru
56.31399944085771,,(30.0-60.0],50.0,170,en-ru,en,ru
37.73342847417189,,(0.0-30.0],28.0,171,en-ru,en,ru
46.58251901904709,,(30.0-60.0],33.0,172,en-ru,en,ru
51.90706116752336,,(30.0-60.0],60.0,173,en-ru,en,ru
54.26032842468867,,(60.0-100.0],75.0,174,en-ru,en,ru
73.7863832556679,,(60.0-100.0],76.0,175,en-ru,en,ru
28.85298417572243,,(60.0-100.0],100.0,417,en-ru,en,ru
41.518459020750356,,(60.0-100.0],100.0,418,en-ru,en,ru
51.50848744656692,,(60.0-100.0],66.0,419,en-ru,en,ru
73.37182718978332,,(60.0-100.0],100.0,420,en-ru,en,ru
18.019096989429503,,(60.0-100.0],100.0,421,en-ru,en,ru
60.613221826031726,,(60.0-100.0],100.0,422,en-ru,en,ru
60.93416674542016,,(60.0-100.0],84.0,423,en-ru,en,ru
16.22212505220887,,(60.0-100.0],78.0,424,en-ru,en,ru
40.55242437374555,,(60.0-100.0],91.0,709,en-ru,en,ru
54.579624347133574,,(60.0-100.0],79.0,766,en-ru,en,ru
50.728727491980926,,(60.0-100.0],82.0,773,en-ru,en,ru
23.407477745639373,,(60.0-100.0],100.0,588,en-ru,en,ru
27.59541947206719,,(60.0-100.0],100.0,589,en-ru,en,ru
65.95746556806381,,(0.0-30.0],5.0,590,en-ru,en,ru
82.71775975011589,,(30.0-60.0],39.0,591,en-ru,en,ru
37.45109685393805,,(30.0-60.0],42.0,592,en-ru,en,ru
100.0,,(60.0-100.0],100.0,594,en-ru,en,ru
22.040657015230874,,(60.0-100.0],100.0,595,en-ru,en,ru
100.0,,(0.0-30.0],0.0,596,en-ru,en,ru
8.377261486398544,,(30.0-60.0],33.0,597,en-ru,en,ru
64.75246600309202,,(60.0-100.0],83.0,732,en-ru,en,ru
63.43917721492765,,(60.0-100.0],85.0,705,en-ru,en,ru
62.863190716879224,,(60.0-100.0],62.0,728,en-ru,en,ru
